case_id,week,weight,state,metro,region,division,ownhome,marital,employ,hhnum,adults,kids1217,kids611,kids06,parent,age,age2,educ2,educ,income,race,partyrot,party,ideorot,ideo,regvote,othtel,sex,ident,l1,l2a,c1,c2,c1a,usborn,relig,religopen,denom,denomopen,born,jewid,secular,jdenom,year,demh1,demh2,date,sexorient_1,sexorient_2,sexorient_3,sexorient_4,sexorient_5,formrot,q1,q2,q3rot,q3,q4rot,q4,q5rot,q5,q5ot,q6rot,q6a,q6b,q6c,q6d,q6e,q6f,partyln,partyst1,partyst2,q7,q8,q9,q10,q11,q12,q13rot,q13,q14rot,q14a,q14b,q14c,q14d,q15,q16,q17rot,q17a,q17c,q17b,q17d,q17e,q17f,q17g,q17h,q18,q19,q20,q20ot,q21,q22rot,q22a,q22b,q22c,q22d,q22e,q22f,q22g,q23,q24,q25rot,q25
10000001,842,0.3804,SC,Surburban (Metro),South,South Atlantic,Owned,Divorced,Retired,Two,Two,NA,NA,NA,No,69,NA,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)",Graduated college,"$15,000 but less than $25,000",White Non-Hispanic,Republican/Democrat,A Democrat,d3 1-5 asked,Somewhat liberal,Yes,One,Male,Landline,No,NA,NA,NA,NA,NA,Nothing in particular,              ,NA,                   ,NA,No,Religious,NA,17,NA,NA,171018,NOT Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,Refused,Form 1,About half the time,Strongly disapprove,1,There's almost nothing President Trump could do to win my approval,NA,NA,1,Worried,                  ,ACB,High but not highest,Lower priority,High but not highest,NA,NA,NA,NA,NA,Strong Democrat,Very unfavorable,Right direction,Pose a serious threat,NA,NA,NA,republican/democratic,The Democratic candidate,ABCD,Not at all well,Not at all well,Very well,Not too well,Help not at all,Should be impeached,EGHCDAFB,Favor,Favor,Oppose,Oppose,Oppose,Favor,Oppose,Oppose,Very worried,Would not make any difference,Southern pride,                                                  ,Trying to report news accurately,DBEFGCA,Completely Agree,Mostly disagree,Mostly disagree,Mostly disagree,Completely disagree,Completely disagree,Completely Agree,Promote free trade,Broader pattern,1,Having a mix of different cultures and values from around the world
10000002,842,0.5964,GA,Center City (Metro),South,South Atlantic,Owned,Divorced,Retired,Two,Two,NA,NA,NA,No,65,NA,"Some college, no degree (includes community college)",Some college,Don't know,White Non-Hispanic,Republican/Democrat,An Independent,d3 1-5 asked,Very conservative,No,None,Female,Landline,"Yes, respondent or someone in household has cell phone",NA,NA,NA,Don't Know,NA,Refused,              ,NA,                   ,NA,NA,NA,NA,17,NA,NA,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,About half the time,Strongly disapprove,1,There's almost nothing President Trump could do to win my approval,NA,NA,4,Disappointed,                  ,FED,NA,NA,NA,Highest priority,Highest priority,High but not highest,Democrat,NA,NA,Very unfavorable,Right direction,NA,Pose a serious threat,NA,NA,republican/democratic,The Democratic candidate,DBCA,Not too well,Not at all well,Very well,Not at all well,Help not at all,Should be impeached,DBAFHECG,Favor,Oppose,Favor,Oppose,Favor,Favor,Oppose,Oppose,Not too worried,Worse off,Racism,                                                  ,Personal or political agenda,GBCDEFA,Mostly disagree,Completely disagree,Mostly disagree,Mostly disagree,Mostly agree,Completely disagree,Mostly agree,More trade restrictions,Broader pattern,1,Having a single culture grounded in Christian values
10000003,842,0.8891,FL,Center City (Metro),South,South Atlantic,Owned,Married,Homemaker,Two,Two,NA,NA,NA,No,Refused,65+,"Some college, no degree (includes community college)",Some college,"$30,000 but less than $40,000",Black Non-Hispanic,Democrat/Republican,A Republican,d3 5-1 asked,Moderate,Yes,None,Female,Landline,"Yes, respondent or someone in household has cell phone",NA,NA,NA,1,NA,Baptist,              ,NA,                   ,Yes,NA,NA,NA,17,NA,NA,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Never,Strongly disapprove,2,There's almost nothing President Trump could do to win my approval,NA,NA,2,Angry,                  ,EDF,NA,NA,NA,Highest priority,High but not highest,Lower priority,NA,Not a strong Republican,NA,Very unfavorable,Misguided but not dangerous,NA,Pose a serious threat,Supporter of another Republican candidate,Prefer someone else,democratic/republican,Don't know/Refused,ADBC,Not too well,Not at all well,Very well,Not too well,Help not at all,Should be impeached,ACFBHGED,Oppose,Favor,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Very worried,Worse off,Southern pride,                                                  ,Personal or political agenda,BDFCGEA,Mostly agree,Mostly agree,Mostly agree,Completely Agree,Mostly disagree,Mostly disagree,Mostly agree,More trade restrictions,Broader pattern,2,Having a single culture grounded in Christian values
10000004,842,0.9169,FL,Center City (Metro),South,South Atlantic,Owned,Married,Retired,Two,Two,NA,NA,NA,No,71,NA,Two year associate degree from a college or university,Some college,"$30,000 but less than $40,000",White Non-Hispanic,Democrat/Republican,A Democrat,d3 5-1 asked,Somewhat liberal,Yes,None,Male,Landline,"Yes, respondent or someone in household has cell phone",NA,NA,NA,1,NA,Agnostic,              ,NA,                   ,NA,No,NA,NA,17,NA,NA,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 1,Always,Strongly disapprove,2,There's almost nothing President Trump could do to win my approval,NA,NA,5,Angry,                  ,ACB,Highest priority,Highest priority,Highest priority,NA,NA,NA,NA,NA,Strong Democrat,Very unfavorable,Misguided but not dangerous,Pose a serious threat,NA,NA,NA,democratic/republican,The Democratic candidate,DACB,Not at all well,Not at all well,Very well,Not at all well,Help not at all,Should be impeached,DHGCEABF,Oppose,Oppose,Oppose,Strongly oppose,Oppose,Favor,Oppose,Strongly oppose,Somewhat worried,Worse off,Southern pride,                                                  ,Trying to report news accurately,GACEBFD,Completely Agree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly agree,Mostly disagree,Mostly agree,Promote free trade,Broader pattern,2,Having a mix of different cultures and values from around the world
10000005,842,0.8904,NJ,Surburban (Metro),North East,Mid Atlantic,Rented,"Single, that is never married",Temporarily unemployed,One,One,NA,NA,NA,No,33,NA,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,"Less than $15,000",Black Non-Hispanic,Republican/Democrat,A Democrat,d3 1-5 asked,Somewhat liberal,Yes,None,Male,Landline,"Yes, respondent or someone in household has cell phone",NA,NA,NA,1,NA,Christian (Just Christian),              ,Non-denominational or Independent Church,                   ,No,NA,NA,NA,17,"Yes, covered by health insurance",Medicaid/state-specific Medicaid plan,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Some of the time,Somewhat approve,NA,NA,1,President Trump could do something to lose my approval,3,Disappointed,                  ,DFE,NA,NA,NA,Lower priority,Lower priority,High but not highest,NA,NA,Not a strong Democrat,Mostly unfavorable,Misguided but not dangerous,NA,Pose a serious threat,NA,NA,republican/democratic,The Democratic candidate,BDCA,Not at all well,Not at all well,Very well,Not at all well,Help not at all,Don't feel that way,BHCFAEGD,Favor,Favor,Strongly oppose,Oppose,Favor,Strongly oppose,Strongly favor,Favor,Very worried,Worse off,Southern pride,                                                  ,Trying to report news accurately,ADEBFGC,Completely Agree,Mostly agree,Mostly agree,Completely Agree,Completely disagree,Completely disagree,Completely Agree,Promote free trade,Broader pattern,1,Having a mix of different cultures and values from around the world
10000006,842,0.6692,OR,Non-Metro,West,Pacific,Rented,Separated,Disabled/Handicapped,One,One,NA,NA,NA,No,55,NA,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,"Less than $15,000",White Non-Hispanic,Republican/Democrat,A Democrat,d3 1-5 asked,Somewhat liberal,Yes,None,Female,Landline,"Yes, respondent or someone in household has cell phone",NA,NA,NA,1,NA,Nothing in particular,              ,NA,                   ,NA,No,"Secular, not religious",NA,17,"Yes, covered by health insurance",Medicaid/state-specific Medicaid plan,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 1,Some of the time,Somewhat disapprove,1,There's almost nothing President Trump could do to win my approval,NA,NA,2,Worried,                  ,ACB,Don't know/refused,High but not highest,Highest priority,NA,NA,NA,NA,NA,Not a strong Democrat,Mostly unfavorable,Right direction,Pose a serious threat,NA,NA,NA,republican/democratic,The Democratic candidate,CADB,Don't know/Refused,Somewhat well,Don't know/Refused,Not at all well,Don't know/Refused,Should be impeached,CGFEDHAB,Favor,Strongly favor,Strongly oppose,Oppose,Oppose,Favor,Favor,Oppose,Very worried,Worse off,Racism,                                                  ,Personal or political agenda,GABCDEF,Completely Agree,Completely Agree,Completely Agree,Completely disagree,Completely disagree,Completely disagree,Completely Agree,More trade restrictions,Broader pattern,1,Having a mix of different cultures and values from around the world
10000007,842,0.3147,OH,Surburban (Metro),North Central,East North Central,Owned,Married,Full-time,One,One,NA,NA,NA,No,50,NA,"Some college, no degree (includes community college)",Some college,"$100,000 and over (Unspecified)",White Non-Hispanic,Democrat/Republican,An Independent,d3 5-1 asked,Very conservative,Yes,Four or more,Male,Landline,"Yes, respondent or someone in household has cell phone",NA,NA,NA,7,NA,Refused,              ,NA,                   ,NA,NA,NA,NA,17,"Yes, covered by health insurance",Plan you purchased yourself either from an insurance company or a state or federal marketplace,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 1,Always,Strongly approve,NA,NA,2,President Trump could do something to lose my approval,4,Excited,                  ,ABC,Highest priority,Don't know/refused,Don't know/refused,NA,NA,NA,Republican,NA,NA,Very favorable,Don't know/refused,Don't know/refused,NA,Don't know/refused,Don't know/refused,democratic/republican,Don't know/Refused,BCDA,Very well,Very well,Very well,Very well,Don't know/Refused,Don't feel that way,BGHEAFCD,Favor,Oppose,Strongly favor,Strongly favor,Favor,Strongly oppose,Don't know/Refused,Strongly favor,Very worried,Better off,Don't know/Refused,                                                  ,Personal or political agenda,ECBDFGA,Completely disagree,Completely Agree,Completely Agree,Mostly disagree,Mostly disagree,Mostly agree,Mostly disagree,Don't know/Refused,Don't know/Refused,2,Having a single culture grounded in Christian values
10000008,842,0.8399,MD,Center City County (Metro),South,South Atlantic,Owned,Married,Full-time,Two,Two,NA,NA,NA,No,61,NA,"Some postgraduate or professional schooling, no postgraduate degree",Graduate school or more,"$100,000 to under $150,000",White Non-Hispanic,Republican/Democrat,A Democrat,d3 1-5 asked,Moderate,Yes,None,Male,Landline,"Yes, respondent or someone in household has cell phone",NA,NA,NA,1,NA,Refused,              ,NA,                   ,NA,NA,NA,NA,17,"Yes, covered by health insurance",Plan through your or your spouse's employer,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Always,Strongly disapprove,1,There's almost nothing President Trump could do to win my approval,NA,NA,4,Worried,                  ,EDF,NA,NA,NA,Lower priority,Lower priority,High but not highest,NA,NA,Strong Democrat,Very unfavorable,Right direction,NA,Pose a serious threat,NA,NA,republican/democratic,The Democratic candidate,ABCD,Not at all well,Not at all well,Very well,Not at all well,Help not at all,Should be impeached,ECDHFBAG,Strongly favor,Don't know/Refused,Oppose,Oppose,Oppose,Favor,Strongly oppose,Oppose,Very worried,Worse off,Southern pride,                                                  ,Trying to report news accurately,CAFGEBD,Completely Agree,Mostly disagree,Don't know/Refused,Completely disagree,Completely disagree,Completely disagree,Completely Agree,Promote free trade,Broader pattern,1,Having a mix of different cultures and values from around the world
10000009,842,1.3808,FL,Center City County (Metro),South,South Atlantic,Owned,Married,Full-time,Four,Three,One,None,None,Yes,56,NA,Two year associate degree from a college or university,Some college,"$150,000 to under $200,000",White Non-Hispanic,Republican/Democrat,An Independent,d3 1-5 asked,Moderate,Yes,None,Female,Landline,"Yes, respondent or someone in household has cell phone",NA,NA,NA,1,NA,"Catholic, Roman Catholic",              ,NA,                   ,NA,NA,NA,NA,17,"Yes, covered by health insurance",Plan through your or your spouse's employer,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Some of the time,Strongly disapprove,1,There's almost nothing President Trump could do to win my approval,NA,NA,1,Angry,                  ,EFD,NA,NA,NA,Highest priority,Lower priority,Highest priority,Democrat,NA,NA,Very unfavorable,Misguided but not dangerous,NA,Pose a serious threat,NA,NA,republican/democratic,The Democratic candidate,DACB,Not at all well,Not too well,Very well,Not too well,Help not at all,Should be impeached,HEDGACBF,Favor,Strongly favor,Strongly oppose,Strongly favor,Favor,Strongly oppose,Strongly favor,Strongly oppose,Not at all worried,Would not make any difference,Southern pride,                                                  ,Trying to report news accurately,GACEBFD,Completely Agree,Mostly disagree,Mostly agree,Completely Agree,Mostly disagree,Completely Agree,Mostly agree,Promote free trade,Broader pattern,1,Having a mix of different cultures and values from around the world
10000011,842,0.6906,MI,Surburban (Metro),North Central,East North Central,Owned,Married,Retired,Two,Two,NA,NA,NA,No,68,NA,"Some college, no degree (includes community college)",Some college,"$50,000 but less than $75,000",White Non-Hispanic,Democrat/Republican,An Independent,d3 5-1 asked,Somewhat liberal,Yes,None,Female,Landline,"Yes, respondent or someone in household has cell phone",NA,NA,NA,1,NA,Atheist,              ,NA,                   ,NA,No,NA,NA,17,NA,NA,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 1,Always,Strongly disapprove,2,There's almost nothing President Trump could do to win my approval,NA,NA,1,Worried,                  ,CBA,Lower priority,High but not highest,Lower priority,NA,NA,NA,Democrat,NA,NA,Very unfavorable,Right direction,Pose a serious threat,NA,NA,NA,democratic/republican,The Democratic candidate,BDCA,Not at all well,Not at all well,Very well,Not at all well,Help not at all,Should be impeached,BCHAEGFD,Strongly favor,Strongly favor,Strongly oppose,Strongly oppose,Strongly oppose,Favor,Strongly oppose,Strongly oppose,Very worried,Worse off,Racism,                                                  ,Trying to report news accurately,AFEGBDC,Mostly agree,Completely disagree,Mostly disagree,Mostly disagree,Completely disagree,Completely disagree,Completely Agree,Promote free trade,Broader pattern,2,Having a mix of different cultures and values from around the world
