congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,148,0.972972973,0.9561596,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421053,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,53,0.981132075,0.97374435,63
0,house,A000367,Amash,MI,3,Independent,146,0.630136986,0.76799191,9.4
115,house,A000367,Amash,MI,3,R,96,0.541666667,0.84738551,9.4
116,house,A000367,Amash,MI,3,I,50,0.8,0.61555619,9.4
0,house,A000369,Amodei,NV,2,Republican,146,0.97260274,0.81634893,12.3
115,house,A000369,Amodei,NV,2,R,94,0.989361702,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,52,0.942307692,0.70756591,12.3
0,house,A000370,Adams,NC,12,Democrat,145,0.117241379,0.13956924,-40
115,house,A000370,Adams,NC,12,D,92,0.173913043,0.20378724,-40
116,house,A000370,Adams,NC,12,D,53,0.018867925,0.02809649,-40
0,house,A000371,Aguilar,CA,31,Democrat,147,0.19047619,0.21615419,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.276595745,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,53,0.037735849,0.04285111,-21.1
0,house,A000372,Allen,GA,12,Republican,149,0.966442953,0.87436438,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421053,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,54,0.962962963,0.81907997,16.2
0,house,A000374,Abraham,LA,5,Republican,125,0.936,0.93777385,29.4
115,house,A000374,Abraham,LA,5,R,96,0.927083333,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,29,0.965517241,0.91107374,29.4
0,house,A000375,Arrington,TX,19,Republican,148,0.959459459,0.95565575,49
115,house,A000375,Arrington,TX,19,R,95,0.968421053,0.94961009,49
116,house,A000375,Arrington,TX,19,R,53,0.943396226,0.9664923,49
0,house,A000376,Allred,TX,32,Democrat,53,0.037735849,0.17919704,-1.9
116,house,A000376,Allred,TX,32,D,53,0.037735849,0.17919704,-1.9
0,house,A000377,Armstrong,ND,0,Republican,52,0.923076923,0.95170303,35.72888837
116,house,A000377,Armstrong,ND,0,R,52,0.923076923,0.95170303,35.72888837
0,house,A000378,Axne,IA,3,Democrat,54,0.037037037,0.34855195,3.5
116,house,A000378,Axne,IA,3,D,54,0.037037037,0.34855195,3.5
0,house,B000213,Barton,TX,6,Republican,92,0.923913043,0.87643124,12.3
115,house,B000213,Barton,TX,6,R,92,0.923913043,0.87643124,12.3
0,house,B000287,Becerra,CA,34,Democrat,1,0,1.40E-07,-72.9
115,house,B000287,Becerra,CA,34,D,1,0,1.40E-07,-72.9
0,house,B000490,Bishop,GA,2,Democrat,147,0.299319728,0.31027852,-11.7
115,house,B000490,Bishop,GA,2,D,93,0.451612903,0.45128279,-11.7
116,house,B000490,Bishop,GA,2,D,54,0.037037037,0.06743785,-11.7
0,house,B000574,Blumenauer,OR,3,Democrat,144,0.118055556,0.13027701,-48.2
115,house,B000574,Blumenauer,OR,3,D,91,0.175824176,0.19149721,-48.2
116,house,B000574,Blumenauer,OR,3,D,53,0.018867925,0.02516308,-48.2
0,house,B000755,Brady,TX,8,Republican,148,0.986486486,0.95575987,48.8
115,house,B000755,Brady,TX,8,R,96,0.989583333,0.95016617,48.8
116,house,B000755,Brady,TX,8,R,52,0.980769231,0.9660867,48.8
0,house,B001227,Brady,PA,1,Democrat,93,0.172043011,0.16459382,-61.3
115,house,B001227,Brady,PA,1,D,93,0.172043011,0.16459382,-61.3
115,house,B001243,Blackburn,TN,7,R,87,0.91954023,0.94563949,39.3
0,house,B001248,Burgess,TX,26,Republican,147,0.959183673,0.93619157,26.5
115,house,B001248,Burgess,TX,26,R,94,0.957446809,0.94107564,26.5
116,house,B001248,Burgess,TX,26,R,53,0.962264151,0.92752925,26.5
0,house,B001250,Bishop,UT,1,Republican,145,0.95862069,0.93871533,27.3
115,house,B001250,Bishop,UT,1,R,93,0.956989247,0.94214025,27.3
116,house,B001250,Bishop,UT,1,R,52,0.961538462,0.93259001,27.3
0,house,B001251,Butterfield,NC,1,Democrat,148,0.141891892,0.14753695,-37
115,house,B001251,Butterfield,NC,1,D,94,0.212765957,0.21569132,-37
116,house,B001251,Butterfield,NC,1,D,54,0.018518519,0.02889785,-37
0,house,B001257,Bilirakis,FL,12,Republican,148,0.959459459,0.89954521,18.6
115,house,B001257,Bilirakis,FL,12,R,95,0.978947368,0.92184181,18.6
116,house,B001257,Bilirakis,FL,12,R,53,0.924528302,0.85957959,18.6
0,house,B001260,Buchanan,FL,16,Republican,144,0.930555556,0.78316431,10.7
115,house,B001260,Buchanan,FL,16,R,90,0.966666667,0.86069026,10.7
116,house,B001260,Buchanan,FL,16,R,54,0.87037037,0.65395439,10.7
0,house,B001269,Barletta,PA,11,Republican,92,0.97826087,0.93672465,23.8
115,house,B001269,Barletta,PA,11,R,92,0.97826087,0.93672465,23.8
0,house,B001270,Bass,CA,37,Democrat,138,0.086956522,0.09649234,-76.1
115,house,B001270,Bass,CA,37,D,87,0.126436782,0.14088039,-76.1
116,house,B001270,Bass,CA,37,D,51,0.019607843,0.02077156,-76.1
0,house,B001273,Black,TN,6,Republican,78,0.935897436,0.95902609,48.9
