Table with row headers in column A and column headers in rows 12 through 14,,,,,,,,,,,
"PINC-03. Educational Attainment--People 25 Years Old and Over, by Total Money Earnings in 2018, Work Experience in 2018, Age, Race, Hispanic Origin, and Sex",,,,,,,,,,,
"Data reflect the implementation of an updated processing system that incorporates content from earlier questionnaire redesigns related to income, health insurance, and demographics.",,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <www2.census.gov/programs-surveys/cps/techdocs/cpsmar19.pdf>.",,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2019 Annual Social and Economic Supplement.",,,,,,,,,,,
"(Numbers in thousands. People 25 Years Old and Over as of March of the following year. A.O.I.C. stands for alone or in combination.  Median income is calculated using $2,500 income intervals.",,,,,,,,,,,
"The Gini index is calculated using micro-sorted data.  Medians falling in the upper open-ended interval are plugged with ""$250,000"".  Standard errors calculated using replicate weights)",,,,,,,,,,,
Both Sexes,,,,,,,,,,,
25 Years and Over,,,,,,,,,,,
Total Work Experience,,,,,,,,,,,
All Races,,,,,,,,,,,
Characteristic,Total,Less Than 9th Grade,High School,,College,,,,,,
,,,,,Some College No Degree,Associate Degree,Bachelor's Degree or more,,,,
,,,9th to 12th Nongrad,Graduate (Incl GED),,,Total,Bachelor's Degree,Master's Degree,Professional Degree,Doctorate Degree
....Total,"221,478","8,603","13,372","62,259","34,690","22,738","79,816","49,937","22,214","3,136","4,529"
Without Earnings,"75,705","4,829","7,090","25,591","12,173","6,566","19,457","12,488","5,431",616,923
With Earnings,"145,773","3,774","6,282","36,668","22,517","16,173","60,359","37,449","16,784","2,521","3,606"
"..$1 to $2,499 or loss","2,940",115,190,775,607,287,966,613,289,21,44
"..$2,500 to $4,999","2,211",97,201,641,399,241,632,459,138,13,22
"..$5,000 to $7,499","3,077",109,245,900,556,334,933,608,265,16,44
"..$7,500 to $9,999","2,265",106,220,776,375,224,565,371,158,11,25
"..$10,000 to $12,499","4,450",185,396,"1,536",826,528,979,688,236,22,32
"..$12,500 to $14,999","2,119",127,209,711,362,206,502,364,113,18,8
"..$15,000 to $17,499","4,364",273,433,"1,407",809,435,"1,007",750,203,12,42
"..$17,500 to $19,999","3,201",196,339,"1,122",612,366,567,411,118,17,21
"..$20,000 to $22,499","6,588",447,579,"2,321","1,093",733,"1,415",963,341,46,65
"..$22,500 to $24,999","3,387",194,280,"1,093",688,429,702,535,136,10,22
"..$25,000 to $27,499","6,592",292,450,"2,331","1,218",799,"1,502","1,130",290,31,49
"..$27,500 to $29,999","2,838",134,160,"1,116",466,379,583,410,148,11,14
"..$30,000 to $32,499","8,375",331,468,"2,872","1,616","1,026","2,063","1,592",370,34,66
"..$32,500 to $34,999","2,067",58,82,718,385,313,510,386,103,5,16
"..$35,000 to $37,499","6,789",239,385,"2,237","1,187",763,"1,979","1,487",391,55,46
"..$37,500 to $39,999","2,638",79,111,889,483,344,732,562,145,6,20
